Number	WNPRC Number	TBS sample number	Date Sample is Collected	Time of Collection	Individual	Dry weight poop only	Dry weight without seeds	Assay date	Volume of sample used (uL)		
29	WNPRC-2018-396	LA159	03/02/2018	13:55	Chai	0.12	0.11	11/15/18	10		
30	WNPRC-2018-404	LA165	05/02/2018	6:49	Chai	0.15	0.12	11/15/18	10		
31	WNPRC-2018-020	LA017	31/08/2017	7:30	Papaya	0.10	0.10	11/15/18	10		
32	WNPRC-2018-037	SP014	05/09/2017	6:57	Papaya	0.11	0.10	11/15/18	10		
33	WNPRC-2018-041	SP027	08/09/2017	14:30	Papaya	0.38	0.17	11/15/18	10		
34	WNPRC-2018-044	SP029	09/09/2017	15:30	Papaya	0.21	0.07	11/15/18	10		
1	WNPRC-2018-049	SP026	10/09/2017	10:15	Papaya	0.21	0.20	11/15/18	10		
2	WNPRC-2018-059	SP052	13/09/2017	14:46	Papaya	0.20	0.10	11/15/18	10		
3	WNPRC-2018-062	SP040	14/09/2017	10:40	Papaya	0.11	0.10	11/15/18	10		
4	WNPRC-2018-074	SP053	18/09/2017	10:23	Papaya	0.13	0.09	11/15/18	10		
5	WNPRC-2018-083	SP074	19/09/2017	14:40	Papaya	0.17	0.09	11/15/18	10		
6	WNPRC-2018-092	SP077	21/09/2017	13:56	Papaya	0.08	0.05	11/15/18	10		
7	WNPRC-2018-097	SP082	25/09/2017	10:45	Papaya	0.17	0.08	11/15/18	10		
8	WNPRC-2018-115	SP099	30/09/2017	13:37	Papaya	0.11	0.07	11/15/18	10		
9	WNPRC-2018-121	SP109	05/10/2017	10:56	Papaya	0.19	0.13	11/15/18	10		
10	WNPRC-2018-134	SP103	09/10/2017	8:53	Papaya	0.15	0.10	11/15/18	10		
11	WNPRC-2018-139	SP131	12/10/2017	16:16	Papaya	0.16	0.10	11/15/18	10		
12	WNPRC-2018-147	SP133	14/10/2017	10:40	Papaya	0.19	0.08	11/15/18	10		
13	WNPRC-2018-155	SP137	18/10/2017	9:13	Papaya	0.17	0.15	11/15/18	10		
14	WNPRC-2018-158	SP150	19/10/2017	13:18	Papaya	0.25	0.11	11/15/18	10		
15	WNPRC-2018-168	LA031	24/10/2017	11:56	Papaya	0.14	0.14	11/15/18	10		
16	WNPRC-2018-180	LA047	28/10/2017	11:57	Papaya	0.19	0.12	11/15/18	10		
17	WNPRC-2018-186	LA044	31/10/2017	14:41	Papaya	0.15	0.12	11/15/18	10		
18	WNPRC-2018-200	SP166	05/11/2017	8:15	Papaya	0.23	0.12	11/15/18	10		
19	WNPRC-2018-210	SP176	08/11/2017	17:19	Papaya	0.18	0.14	11/15/18	10		
